system_equipment,equipment_description,equipment_code,equipment_level,parent_code,parent_level,type_travail,action_entity,date_declaration,date_fin,date_creation,cout_total,source
B7222T8003,ROBOT DE CONDIT - ENCAISSEUSE -,B7222T8003,1,,,CORR,ELKS_UAP1,2023-01-05,2023-06-01,2023-01-05,163.53166666666667,2023_CORRECTIF
B7252T0021,ETIQUETEUSE OPERA 300 SACMI,B7252T0021-GRETIQ-HM,3,B7252T0021-GRETIQ,2.0,CORR,LLK,2023-01-05,2023-04-08,2023-01-16,125.95,2023_CORRECTIF
B7272T8000,FARDELEUSE TSM 4 SDI,B7272T8000,1,,,CORR,ELKS_UAP1,2023-01-05,2023-06-01,2023-01-05,1398.2430233333334,2023_CORRECTIF
B7290T8001,HOUSSEUSE COMBI PAL 2000,B7290T8001,1,,,CORR,ELKS_UAP1,2023-01-05,2023-06-01,2023-01-06,5908.83242208933,2023_CORRECTIF
B7759T8004,CONVOYEURS,B7759T8004,1,,,CORR,ELKS_UAP1,2023-01-05,2023-06-01,2023-01-05,59953.40446852381,2023_CORRECTIF
B8654T0010,Armoire Climatisation CIAT 02,B8654T0010,1,,,CORR,LLK,2023-01-05,2023-01-05,2023-01-05,13866.876667391518,2023_CORRECTIF
B9305T0001,BATIMENT,B9305T0001,1,,,CORR,LLK,2023-01-05,2023-04-08,2023-01-05,288.28333333333336,2023_CORRECTIF
B3972E5099-J03,POSTE MT-BT3,B3971T0051,2,B3972E5099-J03,1.0,CORR,ELKS_DM_UT,2023-01-08,2023-06-01,2023-01-08,6333.606761799635,2023_CORRECTIF
B7214T0007,SOUFFLEUSE SBO 20 SIDEL,B7214T0007-RS-FR,3,B7214T0007-RS,2.0,CORR,LLK,2023-01-08,2023-04-08,2023-01-16,0.0,2023_CORRECTIF
B7214T8001,SOUFFLEUSE SBO 20 5767,B7214T8001,1,,,CORR,ELKS_UAP1,2023-01-08,2023-06-01,2023-01-08,74.4087867,2023_CORRECTIF
B7217T0001,SOUTIREUSE,B7217T0001,1,,,CORR,ELKS_UAP2,2023-01-08,,2023-01-09,0.0,2023_CORRECTIF
B7223T0001,BOUCHEUSE UNIMAC-GHERRI(SDA),B7223T0001,1,,,CORR,ELKS_UAP2,2023-01-08,2023-06-01,2023-01-08,545.6644358,2023_CORRECTIF
B7258T0007,CHECKMAT SORTIE ETIQUETEUSE,B7258T0007,1,,,CORR,ELKS_UAP2,2023-01-08,2023-06-01,2023-01-10,420.51,2023_CORRECTIF
B7258T0009,INSPECTRICE DE BOCAL EBI(SDA),B7258T0009,1,,,CORR,ELKS_UAP2,2023-01-08,2023-06-01,2023-01-09,928.2406969,2023_CORRECTIF
B7270T0200,SLEEVEUSE,B7270T0200-S004,2,B7270T0200,1.0,CORR,ELKS_UAP2,2023-01-08,2023-06-01,2023-01-11,74.4087867,2023_CORRECTIF
B7270T0200,SLEEVEUSE,B7270T0200-S003,2,B7270T0200,1.0,CORR,ELKS_UAP2,2023-01-08,2023-06-01,2023-01-08,498.65960885,2023_CORRECTIF
B7284T0027,PALETTISEUR P432-SCARA (P432-20) CERMEX,B7284T0027-ARMELE,2,B7284T0027,1.0,CORR,LLK,2023-01-08,2023-04-08,2023-01-08,381.6666666666667,2023_CORRECTIF
B7759T0023,CONVOYEURS BOCALES,B7759T0023,1,,,CORR,ELKS_UAP2,2023-01-08,2023-06-01,2023-01-09,186944.42924403516,2023_CORRECTIF
DATA-CENTER-FRD,EQUIPEMENTS FROID ET CLIMATISATION DATA-CENTER,DATA-CENTER-FRD,1,,,CORR,BEC,2023-01-08,2023-01-09,2023-01-08,3109.2319999999995,2023_CORRECTIF
B8638T0028,GROUPE FROID 2A014,B8638T0028,1,,,CORR,BBS,2023-01-09,2023-01-10,2023-01-09,59889.12526942532,2023_CORRECTIF
