EREQ_CODE,EREQ_DESCRIPTION,EREQ_LEVEL,EREQ_PARENT_EQUIPMENT,EREQ_SYSTEM_EQUIPMENT,EREQ_CREATION_DATE,EREQ_EQUIPMENT_STATUS,EREQ_CATEGORY,EREQ_ENTITY,EREQ_ZONE,EREQ_COSTCENTRE
BLS-TUYAUTERIE-U500,TUYAUTERIE SUCRE LIQUIDE-U500,1,,BLS-TUYAUTERIE-U500,2013-02-21,NORMAL,ZFAMILLE,BLS,BLS-U500,SUCRE-D-SUCLIQ
BCH10-CUVSTO-01,CUVE,3,BCH10-CUVREM-01,B7216T0007,2011-03-13,NORMAL,ALIHUI,BCH,BCH10,HUILE-D-CDH
REB-BCH06-ETACOM-09,ETAGES DE COMPRESSION,2,REB-BCH06-COMPRE-03,REB-BCH06-COMPRE-03,2011-05-15,REB,ETACOM,BCH,REB-BCH,HUILED
REB-BCH06-CIRSEC-06,CIRCUIT DE SECHAGE,2,REB-BCH06-COMPRE-06,REB-BCH06-COMPRE-06,2011-05-15,REB,CIRSEC,BCH,REB-BCH,HUILED
A20E11V1,VANNE REGULATRICE  EAU GLACEE SORTIE A20E11,3,B3529R9999-51,B3529T0051,2009-06-23,NORMAL,B4727,BRH,BRH-A20,HUILE-D-RAFH
BCH02-ARMELE-03,ARMOIRE ELECTRIQUE POMPE HF,3,BCH02-GRMPMP-01,B7212T0002,2007-07-17,NORMAL,ARMELE,BCH,BCH02,HUILE-D-CDH
BCH02-AUTOMA-03,AUTOMATE PROGRAMMABLE REMPLISSEUSE,3,BCH02-ARMELE-04,B7216T0002,2007-07-17,NORMAL,AUTOMA,BCH,BCH02,HUILE-D-CDH
BCH02-CUVREM-01,CUVE DE REMPLISSAGE,2,B7216T0002,B7216T0002,2007-07-17,NORMAL,CUVREM,BCH,BCH02,HUILE-D-CDH
BCH02-TRANSM-02,TRANSMISSION REMPLISSEUSE,2,B7216T0002,B7216T0002,2007-07-17,NORMAL,TRANSM,BCH,BCH02,HUILE-D-CDH
B3529T0025,ECHANGEUR A PLAQUES-T521B,1,,B3529T0025,2009-02-04,NORMAL,B3529,BRH,BRH-S600,HUILE-D-RAFH
A26F2V7,ELECTROVANNE REMPLISSAGE HUILE A26F2 VERS A26R1,3,B6522R9999-04,B6522T0004,2009-06-23,NORMAL,B4727,BRH,BRH-A26,HUILE-D-RAFH
A26F2V11,CLAPET ANTI-RETOUR ENTREE A26F2 VAPEUR 6 BARS,3,B6522R9999-04,B6522T0004,2009-06-23,NORMAL,B4727,BRH,BRH-A26,HUILE-D-RAFH
A26F2V17,ELECTROVANNE A26F2 RECIRCULATION HUILE DECOLOREE VERS A26R1,3,B6522R9999-04,B6522T0004,2009-06-23,NORMAL,B4727,BRH,BRH-A26,HUILE-D-RAFH
A26F2V23,ELECTROVANNE SORTIE A26F2 SOUFLAGE VERS A26C2,3,B6522R9999-04,B6522T0004,2009-06-23,NORMAL,B4727,BRH,BRH-A26,HUILE-D-RAFH
21E1V2,VANNE MANUELLE DES EAUX DE REFFOIDISSEMENT 21E1,3,B3529R9999-35,B3529T0035,2009-06-23,NORMAL,B4727,BRH,BRH-S21,HUILE-D-RAFH
B3529T0053,ECHANGEUR A PLAQUES-A20E12,1,,B3529T0053,2009-02-04,,B3529,BRH,BRH-A20,HUILE-D-RAFH
B3529T0311,ECHANGEUR DE CHALEUR E530,1,,B3529T0311,2012-08-01,NORMAL,B3529,BS1,BS1-CONC5,SUCRE-D-RAFS
B4313R0070-A005,MOTEUR ELECTRIQUE,2,B6514T0005,B6514T0005,2012-08-01,NORMAL,B3503,BS1,BS1-TURB6,SUCRE-D-RAFS
B6514R0002-A006,PANIER,2,B6514T0005,B6514T0005,2012-08-01,NORMAL,B6511,BS1,BS1-TURB6,SUCRE-D-RAFS
B6514R0003-A001,CUVE,2,B6514T0005,B6514T0005,2012-08-01,NORMAL,B6508,BS1,BS1-TURB6,SUCRE-D-RAFS
B4600R2000-A040,ACCESSOIRES,2,B6514T0005,B6514T0005,2012-08-01,NORMAL,B4605,BS1,BS1-TURB6,SUCRE-D-RAFS
B6514T0006,TURBINE DISCONTINUE  BW1750S S652,1,,B6514T0006,2012-08-01,NORMAL,B6514,BS1,BS1-TURB6,SUCRE-D-RAFS
B4313R0070-A006,MOTEUR ELECTRIQUE,2,B6514T0006,B6514T0006,2012-08-01,NORMAL,B3503,BS1,BS1-TURB6,SUCRE-D-RAFS
B6514R0002-A007,PALIER,2,B6514T0006,B6514T0006,2012-08-01,NORMAL,B6511,BS1,BS1-TURB6,SUCRE-D-RAFS
B6514R0003-A002,CUVE,2,B6514T0006,B6514T0006,2012-08-01,NORMAL,B6508,BS1,BS1-TURB6,SUCRE-D-RAFS
B6514T0007,TURBINE DISCONTINUE  BW1750S S653,1,,B6514T0007,2012-08-01,NORMAL,B6514,BS1,BS1-TURB6,SUCRE-D-RAFS
B4600R2000-A042,ACCESSOIRES,2,B6514T0007,B6514T0007,2012-08-01,NORMAL,B4605,BS1,BS1-TURB6,SUCRE-D-RAFS
B6514T0008,TURBINE DISCONTINUE  BW1750S S654,1,,B6514T0008,2012-08-01,NORMAL,B6514,BS1,BS1-TURB6,SUCRE-D-RAFS
B4313R0070-A008,MOTEUR ELECTRIQUE,2,B6514T0008,B6514T0008,2012-08-01,NORMAL,B3503,BS1,BS1-TURB6,SUCRE-D-RAFS
B4600R2000-A043,ACCESSOIRES,2,B6514T0008,B6514T0008,2012-08-01,NORMAL,B4605,BS1,BS1-TURB6,SUCRE-D-RAFS
B6514T0009,TURBINE DISCONTINUE BW1750S S655,1,,B6514T0009,2012-08-01,NORMAL,B6514,BS1,BS1-TURB6,SUCRE-D-RAFS
B4313R0070-A009,MOTEUR ELECTRIQUE,2,B6514T0009,B6514T0009,2012-08-01,NORMAL,B3503,BS1,BS1-TURB6,SUCRE-D-RAFS
B6514R0003-A005,CUVE,2,B6514T0009,B6514T0009,2012-08-01,NORMAL,B6508,BS1,BS1-TURB6,SUCRE-D-RAFS
B3503R0400-A006,REDUCTEUR,2,B6305T0015,B6305T0015,2012-08-01,NORMAL,B3503,BS1,BS1-CRST8,SUCRE-D-RAFS
B6305R0011,MOBIL INTERNE,2,B6305T0015,B6305T0015,2012-08-01,NORMAL,B7752,BS1,BS1-CRST8,SUCRE-D-RAFS
B6573R0001,HUMIDIFICATEUR,2,B8657T0007,B8657T0007,2012-08-01,NORMAL,B8677,BS1,BS1-SILOM,SUCRE-D-RAFS
B4600R2000-A061,ACCESSOIRES A1026 (salle électrique),2,B8657T0007,B8657T0007,2012-08-01,NORMAL,B4605,BS1,BS1-SILOM,SUCRE-D-RAFS
B7266T0002,DEPOUSSIERAGE ENSACHAGE A1028,1,,B7266T0002,2012-08-01,NORMAL,B7266,BS1,BS1-SILOM,SUCRE-D-RAFS
B7872R0010,ECLUSE,2,B7266T0002,B7266T0002,2012-08-01,NORMAL,B7752,BS1,BS1-SILOM,SUCRE-D-RAFS
B8657R0002-A003,BATTERIE DE FILTRATIONS,2,B7266T0002,B7266T0002,2012-08-01,NORMAL,B8677,BS1,BS1-SILOM,SUCRE-D-RAFS
