EREQ_CODE,EREQ_DESCRIPTION,EREQ_LEVEL,EREQ_PARENT_EQUIPMENT,EREQ_SYSTEM_EQUIPMENT,EREQ_CREATION_DATE,EREQ_EQUIPMENT_STATUS,EREQ_CATEGORY,EREQ_ENTITY,EREQ_ZONE,EREQ_COSTCENTRE
B3513R0950-F001,REDUCTEUR,3,B3623R5803-F001,B6252T0016,2017-10-22,NORMAL,B3602,UFC,UFC-LU,CO2-D-UFCHAUX
BCH04-ARMELE-06,ARMOIRE ELECTRIQUE CONVOYEURS MECANIQUES,2,B7759T0004,B7759T0004,2008-04-19,NORMAL,ARMELE,BCH,BCH04,HUILE-D-CDH
BCH04-CONMEC-03,TABLE D'ACCUMULATION,2,B7759T0004,B7759T0004,2008-04-19,NORMAL,CONMEC,BCH,BCH04,HUILE-D-CDH
BCH04-CONMEC-04,CONVOYEURS A CHAINES,2,B7759T0004,B7759T0004,2008-04-19,NORMAL,CONMEC,BCH,BCH04,HUILE-D-CDH
BCH04-SYSLUB-02,SYSTEME DE LUBRIFICATION CONVOYEURS MECANIQUES,2,B7759T0004,B7759T0004,2008-04-19,NORMAL,SYSLUB,BCH,BCH04,HUILE-D-CDH
B7770R0001-119,CONVOYEUR SORTIE FD140-709 L2 ,2,B7770T0001,B7770T0001,2017-10-23,,B7762,BMA,BMA-A12,CGS-D-MARG
BCH04-ARMELE-07,ARMOIRE ELECTRIQUE PALETTISEUR,2,B7284T0004,B7284T0004,2008-04-19,NORMAL,ARMELE,BCH,BCH04,HUILE-D-CDH
BCH04-AUTOMA-03,AUTOMATE PROGRAMMABLE PALETTISEUR,3,BCH04-ARMELE-07,B7284T0004,2008-04-19,NORMAL,AUTOMA,BCH,BCH04,HUILE-D-CDH
BCH03-ARMELE-05,ARMOIRE ELECTRIQUE ETIQUETTEUSE,2,B7252T0003,B7252T0003,2007-07-17,NORMAL,ARMELE,BCH,BCH03,HUILE-D-CDH
BCH03-GRMPMP-01,GROUPE MOTO-POMPE LIGNE 2L,2,B7212T0003,B7212T0003,2007-07-17,NORMAL,GRMPMP,BCH,BCH03,HUILE-D-CDH
B7770R0001-120,CONVOYEUR SORTIE FD140-709 L2 ,3,B7770R0001-119,B7770T0001,2017-10-23,,B7762,BMA,BMA-A12,CGS-D-MARG
REB-BCH04-VSFTRA-02,Vis Sans Fin Etiquetteuse,3,REB-BCH04-TRANSM-05,REB-BCH04-ETIQUE-01,2008-04-19,REB,VSFTRA,BCH,REB-BCH,ZCHARGE
BCH03-BRTOUR-01,BRAS TOURNANT,2,B7286T0004,B7286T0004,2007-07-17,NORMAL,BRTOUR,BCH,BCH03,HUILE-D-CDH
BCH04-ARMELE-02,ARMOIRE ELECTRIQUE POMPE HF,3,BCH04-GRMPMP-01,B7212T0004,2007-07-17,NORMAL,ARMELE,BCH,BCH04,HUILE-D-CDH
BCH05-BOUCHE-01,BOUCHEUSE,2,B7216T0005,B7216T0005,2007-07-17,NORMAL,BOUCHE,BCH,BCH05,HUILE-D-CDH
BCH09-COLONE-01,COLONNE N°1 ARRIVEE TRANSFORMATEURS N°1&2,4,BCH09-TGBTEN-02,B3971T0007,2007-07-17,NORMAL,COLONE,BCH,BCH09,HUILE-D-CDH
BCH10-TIMPRE-01,TETE D'IMPRESSION,2,B7254T0013,B7254T0013,2011-02-22,NORMAL,DATEUR,BCH,BCH10,HUILE-D-CDH
REB-BCH04-BECREM-01,Becs De Remplissage,3,REB-BCH04-CUVREM-01,REB-BCH04-REMPLI-01,2008-04-19,REB,BECREM,BCH,REB-BCH,ZCHARGE
REB-BCH01-TRANSM-06,TRANSMISSION DEVIATEUR,2,REB-BCH01-DEVIAT-01,REB-BCH01-DEVIAT-01,2011-01-14,REB,TRANSM,BCH,REB-BCH,ZCHARGE
REB-BCH01-TRANSM-07,TRANSMISSION LONGITUDINALE,3,REB-BCH01-TRANSM-06,REB-BCH01-DEVIAT-01,2011-01-14,REB,TRANSM,BCH,REB-BCH,ZCHARGE
REB-BCH01-TRANSM-09,TRANSMISSIONS FARDELEUSE,3,REB-BCH01-ENTRAI-01,REB-BCH01-FARDEL-01,2011-01-14,REB,TRANSM,BCH,REB-BCH,ZCHARGE
REB-BCH01-TRFILM-01,GROUPE TRANSPORT FILM,2,REB-BCH01-FARDEL-01,REB-BCH01-FARDEL-01,2011-01-14,REB,TRFILM,BCH,REB-BCH,ZCHARGE
REB-BCH01-TRFILM-02,TRANSPORT FILM,3,REB-BCH01-TRFILM-01,REB-BCH01-FARDEL-01,2011-01-14,REB,TRFILM,BCH,REB-BCH,ZCHARGE
REB-BCH01-VENTIL-01,VENTILATEURS,3,REB-BCH01-FOURIR-01,REB-BCH01-SOUFFL-01,2011-01-14,REB,VENTIL,BCH,REB-BCH,ZCHARGE
REB-BCH01-VSFTRA-01,VIS SANS FIN REMPLISSEUSE,3,REB-BCH01-TRANSM-02,REB-BCH01-REMPLI-01,2011-01-14,REB,VSFTRA,BCH,REB-BCH,ZCHARGE
A20R5LAH1,DETECTEUR DE NIVEAU HAUT DE A20R5,3,B6330R9999-02,B6330T0002,2009-06-23,NORMAL,B4633,BRH,BRH-A20,HUILE-D-RAFH
A20R5V1,ELECTROVANNE DE BY-PASS DE A20R5,3,B6330R9999-02,B6330T0002,2009-06-23,NORMAL,B4727,BRH,BRH-A20,HUILE-D-RAFH
A20R5V2,ELECTROVANNE SORTIE A20R5,3,B6330R9999-02,B6330T0002,2009-06-23,NORMAL,B4727,BRH,BRH-A20,HUILE-D-RAFH
A20R5V3,VANNE MANUELLE ENTREE A20R5,3,B6330R9999-02,B6330T0002,2009-06-23,NORMAL,B4727,BRH,BRH-A20,HUILE-D-RAFH
REB-BCH06-COMPEL-06,COMPOSANTS ELECTRIQUES COMPRESSEUR 40 BARS,3,REB-BCH06-ARMELE-06,REB-BCH06-COMPRE-06,2011-05-15,REB,COMPEL,BCH,REB-BCH,HUILED
REB-BCH06-COMPRE-03,COMPRESSEUR 40BARS 40P36 N°3,1,,REB-BCH06-COMPRE-03,2011-05-15,REB,COMPRE,BCH,REB-BCH,HUILED
REB-BCH06-COMPRE-06,COMPRESSEUR 40BARS 40P36 N°6,1,,REB-BCH06-COMPRE-06,2011-05-15,REB,COMPRE,BCH,REB-BCH,HUILED
B7284R0001-107,TAPIS ENTREE PREFORMATEUR DROITE,2,B7284T0001,B7284T0001,2009-02-04,,B7761,BMA,BMA-PALET,CGS-D-MARG
B4313R0020-455,MOTEUR DE POUSSEUR,3,B7284R0001-105,B7284T0001,2009-02-04,,B4313,BMA,BMA-PALET,CGS-D-MARG
BLS-TUYAUTERIE-U300,TUYAUTERIE SUCRE LIQUIDE-U300,1,,BLS-TUYAUTERIE-U300,2013-02-21,NORMAL,ZFAMILLE,BLS,BLS-U300,SUCRE-D-SUCLIQ
BLS-TUYAUTERIE-U600,TUYAUTERIE SUCRE LIQUIDE-U600,1,,BLS-TUYAUTERIE-U600,2013-02-21,NORMAL,ZFAMILLE,BLS,BLS-U600,SUCRE-D-SUCLIQ
BLS-TUYAUTERIE-U1000,TUYAUTERIE SUCRE LIQUIDE-U1000,1,,BLS-TUYAUTERIE-U1000,2013-02-21,NORMAL,ZFAMILLE,BLS,BLS-UTIL,SUCRE-D-SUCLIQ
REB-BCH07-ARMELE-03,ARMOIRE ELECTRIQUE P620 N°3,2,REB-BCH07-REFROI-03,REB-BCH07-REFROI-03,2007-07-17,REB,ARMELE,BCH,REB-BCH,HUILED
REB-BCH07-CIREAU-03,CIRCUIT DE REFROIDISSEMENT P620 N°3,2,REB-BCH07-REFROI-03,REB-BCH07-REFROI-03,2007-07-17,REB,CIREAU,BCH,REB-BCH,HUILED
BCH03-PCCONT-04,POSTE DE COMMANDE ET CONTRÔLE GEBO,2,B7759T0011,B7759T0011,2007-07-17,NORMAL,PCCONT,BCH,BCH03,HUILE-D-CDH
BCH09-ECLAIR-01,ECLAIRAGE,2,B9305T0005,B9305T0005,2007-07-17,NORMAL,ECLAIR,BCH,BCH09,HUILE-D-CDH
B6335T0006,FONDOIR M160E,1,,B6335T0006,2013-04-18,,B7103,BS1,BS1-RF,SUCRE-D-RAFS
BCH10-DOSEUR-01,DOSEUR,3,BCH10-CUVREM-01,B7216T0007,2011-03-13,NORMAL,ALIHUI,BCH,BCH10,HUILE-D-CDH
BCH10-MECAMD-01,MECANISME MOTEE/DESSENTE,3,BCH10-CUVREM-01,B7216T0007,2011-03-13,NORMAL,ALIHUI,BCH,BCH10,HUILE-D-CDH
REB-BCH06-ETACOM-10,PREMIER ETAGE,3,REB-BCH06-ETACOM-09,REB-BCH06-COMPRE-03,2011-05-15,REB,ETACOM,BCH,REB-BCH,HUILED
REB-BCH06-ETACOM-12,TROISIEME ETAGE,3,REB-BCH06-ETACOM-09,REB-BCH06-COMPRE-03,2011-05-15,REB,ETACOM,BCH,REB-BCH,HUILED
REB-BCH06-ARMELE-02,ARMOIRE ELECTRIQUE COMPRESSEUR 40 BARS,2,REB-BCH06-COMPRE-02,REB-BCH06-COMPRE-02,2011-05-15,REB,ARMELE,BCH,REB-BCH,HUILED
REB-BCH06-ARMELE-05,ARMOIRE ELECTRIQUE COMPRESSEUR 40 BARS,2,REB-BCH06-COMPRE-05,REB-BCH06-COMPRE-05,2011-05-15,REB,ARMELE,BCH,REB-BCH,HUILED
REB-BCH06-AUTOMA-02,AUTOMATE PROGRAMMABLE COMPRESSEUR 40 BARS,3,REB-BCH06-ARMELE-02,REB-BCH06-COMPRE-02,2011-05-15,REB,AUTOMA,BCH,REB-BCH,HUILED
REB-BCH07-CIRFRI-03,CIRCUIT FRIGORIFIQUE P620 N°3,2,REB-BCH07-REFROI-03,REB-BCH07-REFROI-03,2007-07-17,REB,CIRFRI,BCH,REB-BCH,HUILED
REB-BCH07-AUTOMA-03,AUTOMATE PROGRAMMABLE P620 N°3,3,REB-BCH07-ARMELE-03,REB-BCH07-REFROI-03,2007-07-17,REB,AUTOMA,BCH,REB-BCH,HUILED
REB-BCH07-COMPEL-03,COMPOSANTS ELECTRIQUES P620 N°3,3,REB-BCH07-ARMELE-03,REB-BCH07-REFROI-03,2007-07-17,REB,COMPEL,BCH,REB-BCH,HUILED
REB-BCH07-DETEND-06,DETENDEURS P500 N°6,3,REB-BCH07-CIRFRI-06,REB-BCH07-REFROI-06,2007-07-17,REB,DETEND,BCH,REB-BCH,HUILED
REB-BCH07-DISTRI-06,DISTRIBUTEUR D'EAU P500 N°6,3,REB-BCH07-CIREAU-06,REB-BCH07-REFROI-06,2007-07-17,REB,DISTRI,BCH,REB-BCH,HUILED
REB-BCH07-EVAPOR-06,EVAPORISATEUR P500 N°6,3,REB-BCH07-CIRFRI-06,REB-BCH07-REFROI-06,2007-07-17,REB,EVAPOR,BCH,REB-BCH,HUILED
REB-BCH07-ARMELE-07,ARMOIRE ELECTRIQUE NRP 50 N°7,2,REB-BCH07-REFROI-07,REB-BCH07-REFROI-07,2007-07-17,REB,ARMELE,BCH,REB-BCH,HUILED
REB-BCH07-AUTOMA-07,AUTOMATE PROGRAMMABLE NRP 50 N°7,3,REB-BCH07-ARMELE-07,REB-BCH07-REFROI-07,2007-07-17,REB,AUTOMA,BCH,REB-BCH,HUILED
REB-BCH07-CIRCUL-01,CIRCULATEUR D'EAU REFROIDISSEUR NRP 50 N°7,3,REB-BCH07-CIREAU-07,REB-BCH07-REFROI-07,2007-07-17,REB,CIRCUL,BCH,REB-BCH,HUILED
B7284R0001-118,NAVETTE A DEUX PLACES PALETTES,3,B7284R0001-117,B7284T0001,2009-02-04,,B77-82,BMA,BMA-PALET,CGS-D-MARG
BCH04-COMPEL-07,COMPOSANTS ELECTRIQUES CONVOYEURS MECANIQUES,3,BCH04-ARMELE-06,B7759T0004,2008-04-19,NORMAL,COMPEL,BCH,BCH04,HUILE-D-CDH
A20T41V1,VANNE MANUELLE VAPEUR DE BARBOTAGE,3,B7115R9999-04,B7115T0004,2009-06-23,NORMAL,B4727,BRH,BRH-A20,HUILE-D-RAFH
BCH02-COIFFE-01,COIFFE,3,BCH02-BCFILM-01,B7286T0003,2007-07-17,NORMAL,COIFFE,BCH,BCH02,HUILE-D-CDH
BCH02-COFILM-01,COUPE FILM,3,BCH02-BCFILM-01,B7286T0003,2007-07-17,NORMAL,COFILM,BCH,BCH02,HUILE-D-CDH
BCH02-PRFILM-01,PINCE RETENUE FILM,3,BCH02-BCFILM-01,B7286T0003,2007-07-17,NORMAL,PRFILM,BCH,BCH02,HUILE-D-CDH
BCH02-CONMEC-11,CONVOYEURS A ROULEAUX BANDEROLEUSE,2,B7286T0003,B7286T0003,2007-07-17,NORMAL,CONMEC,BCH,BCH02,HUILE-D-CDH
BCH02-PORBAR-02,BARRIERES DE SECURITE BANDEROLEUSE,3,BCH02-CONMEC-11,B7286T0003,2007-07-17,NORMAL,PORBAR,BCH,BCH02,HUILE-D-CDH
BCH03-AUTOMA-01,AUTOMATE PROGRAMMABLE SBO,3,BCH03-ARMELE-01,B7214T0003,2007-07-17,NORMAL,AUTOMA,BCH,BCH03,HUILE-D-CDH
BCH03-COMPEL-01,COMPOSANTS ELECTRIQUES SBO,3,BCH03-ARMELE-01,B7214T0003,2007-07-17,NORMAL,COMPEL,BCH,BCH03,HUILE-D-CDH
REB-BCH07-CIRFRI-07,CIRCUIT FRIGORIFIQUE NRP 50 N°7,2,REB-BCH07-REFROI-07,REB-BCH07-REFROI-07,2007-07-17,REB,CIRFRI,BCH,REB-BCH,HUILED
BCH03-ALPREF-01,ALIMENTATION PREFORMES,2,B7214T0003,B7214T0003,2007-07-17,NORMAL,ALPREF,BCH,BCH03,HUILE-D-CDH
BCH03-CONMEC-01,CONVOYEUR TRANSPORTEUR PREFORMES,3,BCH03-ALPREF-01,B7214T0003,2007-07-17,NORMAL,CONMEC,BCH,BCH03,HUILE-D-CDH
BCH03-ORIDEM-01,ORIENTEUR & DEMELEUR,3,BCH03-ALPREF-01,B7214T0003,2007-07-17,NORMAL,ORIDEM,BCH,BCH03,HUILE-D-CDH
REB-BCH04-CUVFIL-01,Cuve A Filtres,3,REB-BCH04-ALHUIL-02,REB-BCH04-REMPLI-01,2008-04-19,REB,CUVFIL,BCH,REB-BCH,ZCHARGE
REB-BCH04-EVANNE-01,Electrovanne D'Arrivee Produit,3,REB-BCH04-ALHUIL-02,REB-BCH04-REMPLI-01,2008-04-19,REB,EVANNE,BCH,REB-BCH,ZCHARGE
REB-BCH04-CONDUI-02,Conduites Huile Finie,3,REB-BCH04-ALHUIL-02,REB-BCH04-REMPLI-01,2008-04-19,REB,CONDUI,BCH,REB-BCH,ZCHARGE
REB-BCH04-CUVREM-02,Cuve Remplisseuse,3,REB-BCH04-CUVREM-01,REB-BCH04-REMPLI-01,2008-04-19,REB,CUVREM,BCH,REB-BCH,ZCHARGE
B7284R0009-101,ROBOT KAWASAKI,2,B7284T0009,B7284T0009,2010-09-20,,B7284,BMA,BMA-PALET,CGS-D-MARG
REB-BCH01-ROCHAR-01,ROUE DE CHARGEMENT PREFORMES,3,REB-BCH01-ALPREF-01,REB-BCH01-SOUFFL-01,2011-01-14,REB,ROCHAR,BCH,REB-BCH,ZCHARGE
REB-BCH01-BOUCHE-01,BOUCHEUSE,2,REB-BCH01-REMPLI-01,REB-BCH01-REMPLI-01,2011-01-14,REB,BOUCHE,BCH,REB-BCH,ZCHARGE
REB-BCH01-ENTRAI-03,ROTATION BANDEROLEUSE,3,REB-BCH01-BRTOUR-01,REB-BCH01-BANDER-01,2011-01-14,REB,ENTRAI,BCH,REB-BCH,ZCHARGE
REB-BCH01-ROSOUF-01,ROUE DE SOUFFLAGE,2,REB-BCH01-SOUFFL-01,REB-BCH01-SOUFFL-01,2011-01-14,REB,ROSOUF,BCH,REB-BCH,ZCHARGE
REB-BCH01-ETIQUE-01,ETIQUETTEUSE FUTURA S15TD825 KB384,1,,REB-BCH01-ETIQUE-01,2011-01-14,REB,ETIQUE,BCH,REB-BCH,ZCHARGE
REB-BCH07-COMPRE-08,COMPRESSEUR NRP 50 N°8,3,REB-BCH07-CIRFRI-08,REB-BCH07-REFROI-08,2007-07-17,REB,COMPRE,BCH,REB-BCH,HUILED
REB-BCH07-DETEND-08,DETENDEURS NRP 50 N°8,3,REB-BCH07-CIRFRI-08,REB-BCH07-REFROI-08,2007-07-17,REB,DETEND,BCH,REB-BCH,HUILED
REB-BCH07-CONDEN-08,CONDENSEUR NRP 50 N°8,3,REB-BCH07-CIRFRI-08,REB-BCH07-REFROI-08,2007-07-17,REB,CONDEN,BCH,REB-BCH,HUILED
REB-BCH07-EVAPOR-08,EVAPORISATEUR NRP 50 N°8,3,REB-BCH07-CIRFRI-08,REB-BCH07-REFROI-08,2007-07-17,REB,EVAPOR,BCH,REB-BCH,HUILED
REB-BCH07-CIREAU-09,CIRCUIT DE REFROIDISSEMENT NRP 25 N°9,2,REB-BCH07-REFROI-09,REB-BCH07-REFROI-09,2007-07-17,REB,CIREAU,BCH,REB-BCH,HUILED
BMA17-REDUCT-03,REDUCTEUR DE POUSSEUR,3,B7284R0001-105,B7284T0001,2009-02-04,,B3513,BMA,BMA-PALET,CGS-D-MARG
B7284R0001-108,TAPIS ENTREE PREFORMATEUR DROITE,3,B7284R0001-107,B7284T0001,2009-02-04,,B7761,BMA,BMA-PALET,CGS-D-MARG
B4313R0020-456,MOTEUR DE TAPIS ENTREE PREFORMATEUR DROITE,3,B7284R0001-107,B7284T0001,2009-02-04,,B4313,BMA,BMA-PALET,CGS-D-MARG
BMA17-REDUCT-04,REDUCTEUR DE TAPIS ENTREE PREFORMATEUR DROITE,3,B7284R0001-107,B7284T0001,2009-02-04,,B3513,BMA,BMA-PALET,CGS-D-MARG
B7284R0001-110,TAPIS ENTREE PREFORMATEUR GAUCHE,3,B7284R0001-109,B7284T0001,2009-02-04,,B7761,BMA,BMA-PALET,CGS-D-MARG
B4313R0020-457,MOTEUR DE TAPIS ENTREE PREFORMATEUR GAUCHE,3,B7284R0001-109,B7284T0001,2009-02-04,,B4313,BMA,BMA-PALET,CGS-D-MARG
BMA17-REDUCT-05,REDUCTEUR DE TAPIS ENTREE PREFORMATEUR GAUCHE,3,B7284R0001-109,B7284T0001,2009-02-04,,B3513,BMA,BMA-PALET,CGS-D-MARG
B7284R0001-111,CHARIOT MOBILE,2,B7284T0001,B7284T0001,2009-02-04,,B7753,BMA,BMA-PALET,CGS-D-MARG
B7284R0001-112,CHARIOT MOBILE,3,B7284R0001-111,B7284T0001,2009-02-04,,B7753,BMA,BMA-PALET,CGS-D-MARG
B8540R0001-162,ARMOIRE ELECTRIQUE PALETISEUR A,2,B7284T0001,B7284T0001,2009-02-04,,B8540,BMA,BMA-PALET,CGS-D-MARG
B7284T0002,PALETTISEUR B,1,,B7284T0002,2009-02-04,,B7284,BMA,BMA-PALET,CGS-D-MARG
B7284R0002-100,PALETTISEUR B,2,B7284T0002,B7284T0002,2009-02-04,,B7284,BMA,BMA-PALET,CGS-D-MARG
REB-BCH07-ARMELE-04,ARMOIRE ELECTRIQUE P620 N°4,2,REB-BCH07-REFROI-04,REB-BCH07-REFROI-04,2007-07-17,REB,ARMELE,BCH,REB-BCH,HUILED
REB-BCH07-AUTOMA-04,AUTOMATE PROGRAMMABLE P620 N°4,3,REB-BCH07-ARMELE-04,REB-BCH07-REFROI-04,2007-07-17,REB,AUTOMA,BCH,REB-BCH,HUILED
REB-BCH07-CIREAU-04,CIRCUIT DE REFROIDISSEMENT P620 N°4,2,REB-BCH07-REFROI-04,REB-BCH07-REFROI-04,2007-07-17,REB,CIREAU,BCH,REB-BCH,HUILED
REB-BCH07-CIRFRI-04,CIRCUIT FRIGORIFIQUE P620 N°4,2,REB-BCH07-REFROI-04,REB-BCH07-REFROI-04,2007-07-17,REB,CIRFRI,BCH,REB-BCH,HUILED
BCH06-AUTOMA-07,AUTOMATE PREGRAMMABLE,3,BCH06-ARMELE-07,B3668T0202,2011-05-18,NORMAL,ZFAMILLE,BCH,BCH06,HUILE-D-CDH
BCH06-COMPEL-07,COMPOSANTS ELECTRIQUES,3,BCH06-ARMELE-07,B3668T0202,2011-05-18,NORMAL,ZFAMILLE,BCH,BCH06,HUILE-D-CDH
REB-BCH07-COMPEL-04,COMPOSANTS ELECTRIQUES P620 N°4,3,REB-BCH07-ARMELE-04,REB-BCH07-REFROI-04,2007-07-17,REB,COMPEL,BCH,REB-BCH,HUILED
REB-BCH07-COMPRE-04,COMPRESSEUR P620 N°4,3,REB-BCH07-CIRFRI-04,REB-BCH07-REFROI-04,2007-07-17,REB,COMPRE,BCH,REB-BCH,HUILED
REB-BCH07-CONDEN-04,CONDENSEUR P620 N°4,3,REB-BCH07-CIRFRI-04,REB-BCH07-REFROI-04,2007-07-17,REB,CONDEN,BCH,REB-BCH,HUILED
REB-BCH07-DETEND-04,DETENDEURS P620 N°4,3,REB-BCH07-CIRFRI-04,REB-BCH07-REFROI-04,2007-07-17,REB,DETEND,BCH,REB-BCH,HUILED
REB-BCH07-EVAPOR-04,EVAPORISATEUR P620 N°4,3,REB-BCH07-CIRFRI-04,REB-BCH07-REFROI-04,2007-07-17,REB,EVAPOR,BCH,REB-BCH,HUILED
REB-BCH07-DISTRI-04,DISTRIBUTEUR D'EAU P620 N°4,3,REB-BCH07-CIREAU-04,REB-BCH07-REFROI-04,2007-07-17,REB,DISTRI,BCH,REB-BCH,HUILED
A20E11TT1,TRANSMETTEUR DE TEMPERATURE HUILE SORTIE A20E11,3,B3529R9999-51,B3529T0051,2009-06-23,NORMAL,B4666,BRH,BRH-A20,HUILE-D-RAFH
A20E10TI1,INDICATEUR DE TEMPERATURE HUILE ENTREE A20E10,3,B3529R9999-52,B3529T0052,2009-06-23,NORMAL,B4710,BRH,BRH-A20,HUILE-D-RAFH
A20E10TI2,INDICATEUR DE TEMPERATURE HUILE SORTIE A20E10,3,B3529R9999-52,B3529T0052,2009-06-23,NORMAL,B4710,BRH,BRH-A20,HUILE-D-RAFH
A20P8PI1,INDICATEUR DE PRESSION REFOULEMENT A20P8,3,B6330R9999-02,B6330T0002,2009-06-23,NORMAL,B4631,BRH,BRH-A20,HUILE-D-RAFH
BCH02-ARMELE-02,ARMOIRE ELECTRIQUE RAFALE,2,B7750T0002,B7750T0002,2007-07-17,NORMAL,ARMELE,BCH,BCH02,HUILE-D-CDH
BCH02-AUTOMA-02,AUTOMATE PROGRAMMABLE RAFALE,3,BCH02-ARMELE-02,B7750T0002,2007-07-17,NORMAL,AUTOMA,BCH,BCH02,HUILE-D-CDH
BCH03-ROCHAR-01,ROUE DE CHARGEMENT PREFORMES,3,BCH03-ALPREF-01,B7214T0003,2007-07-17,NORMAL,ROCHAR,BCH,BCH03,HUILE-D-CDH
BCH03-FOURIR-01,FOUR SBO,2,B7214T0003,B7214T0003,2007-07-17,NORMAL,FOURIR,BCH,BCH03,HUILE-D-CDH
BCH03-VENTIL-01,VENTILATEURS,3,BCH03-FOURIR-01,B7214T0003,2007-07-17,NORMAL,VENTIL,BCH,BCH03,HUILE-D-CDH
BCH03-ROSOUF-01,ROUE DE SOUFFLAGE,2,B7214T0003,B7214T0003,2007-07-17,NORMAL,ROSOUF,BCH,BCH03,HUILE-D-CDH
BCH03-POSOUF-01,POSTE DE SOUFFLAGE,3,BCH03-ROSOUF-01,B7214T0003,2007-07-17,NORMAL,POSOUF,BCH,BCH03,HUILE-D-CDH
BCH03-TRANSM-01,TRANSMISSION SBO,3,BCH03-ROSOUF-01,B7214T0003,2007-07-17,NORMAL,TRANSM,BCH,BCH03,HUILE-D-CDH
BCH03-CAMCOM-01,CAMES DE COMMANDE,3,BCH03-ROSOUF-01,B7214T0003,2007-07-17,NORMAL,CAMCOM,BCH,BCH03,HUILE-D-CDH
A20T41F1,FILTRE A PARTICULE SORTIE HUILE DE A20T41,3,B7115R9999-04,B7115T0004,2009-06-23,NORMAL,B3574,BRH,BRH-A20,HUILE-D-RAFH
A20T41V4,VANNE DE PURGE DE A20T41F1,3,B7115R9999-04,B7115T0004,2009-06-23,NORMAL,B4727,BRH,BRH-A20,HUILE-D-RAFH
A20P6V1,VANNE DE PURGE ENTREE A20P6,3,B7115R9999-04,B7115T0004,2009-06-23,NORMAL,B4727,BRH,BRH-A20,HUILE-D-RAFH
BCH02-ARMELE-07,ARMOIRE ELECTRIQUE CONVOYEURS MECANIQUES,2,B7759T0010,B7759T0010,2007-07-17,NORMAL,ARMELE,BCH,BCH02,HUILE-D-CDH
BCH02-CONMEC-03,CONVOYEURS UNIFILAIRES,2,B7759T0010,B7759T0010,2007-07-17,NORMAL,CONMEC,BCH,BCH02,HUILE-D-CDH
BCH02-CONMEC-04,TABLE D'ACCUMULATION,2,B7759T0010,B7759T0010,2007-07-17,NORMAL,CONMEC,BCH,BCH02,HUILE-D-CDH
BCH02-CONMEC-05,CONVOYEURS A ROULEAUX,2,B7759T0010,B7759T0010,2007-07-17,NORMAL,CONMEC,BCH,BCH02,HUILE-D-CDH
BCH02-SYSLUB-02,SYSTEME DE LUBRIFICATION CONVOYEURS MECANIQUES,2,B7759T0010,B7759T0010,2007-07-17,NORMAL,SYSLUB,BCH,BCH02,HUILE-D-CDH
BCH01-CONMEC-14,TABLE D'ACCUMULATION,2,REB-B7759T0014,REB-B7759T0014,2011-06-28,REB,ZFAMILLE,BCH,BCH01,HUILE-D-CDH
BCH01-CONMEC-15,CONVOYEURS A CHAINES,2,REB-B7759T0014,REB-B7759T0014,2011-06-28,REB,ZFAMILLE,BCH,BCH01,HUILE-D-CDH
B063-682B,VANNE MANUELLE D'ALIMENTATION DU CIRCUIT DE GRAISSAGE DE LA GARNITURE DE LA P622/3,3,B7103R9999-43,B7105T0043,2009-06-23,NORMAL,B4727,BRH,BRH-S600,HUILE-D-RAFH
B064-682B,VANNE MANUELLE D'ALIMENTATION DU CIRCUIT DE GRAISSAGE DE LA GARNITURE DE LA P622/2,3,B7103R9999-43,B7105T0043,2009-06-23,NORMAL,B4727,BRH,BRH-S600,HUILE-D-RAFH
BCH05-ORIDEM-01,ORIENTEUR & DEMELEUR,3,BCH05-ALPREF-01,B7214T0006,2007-07-17,NORMAL,ORIDEM,BCH,BCH05,HUILE-D-CDH
BCH05-CHTOUR-01,CHAINE DE TOURNETTES,3,BCH05-FOURIR-01,B7214T0006,2007-07-17,NORMAL,CHTOUR,BCH,BCH05,HUILE-D-CDH
BCH05-CAMCOM-01,CAMES DE COMMANDE,3,BCH05-ROSOUF-01,B7214T0006,2007-07-17,NORMAL,CAMCOM,BCH,BCH05,HUILE-D-CDH
BCH05-ARMELE-02,ARMOIRE ELECTRIQUE SBO,2,B7214T0005,B7214T0005,2007-07-17,NORMAL,ARMELE,BCH,BCH05,HUILE-D-CDH
BCH05-BASCUL-02,BASCULEUR,3,BCH05-ALPREF-02,B7214T0005,2007-07-17,NORMAL,BASCUL,BCH,BCH05,HUILE-D-CDH
BCH05-ROCHAR-02,ROUE DE CHARGEMENT PREFORMES,3,BCH05-ALPREF-02,B7214T0005,2007-07-17,NORMAL,ROCHAR,BCH,BCH05,HUILE-D-CDH
VT-541/03,ELECTROVANNE D'ENVOI DE L'HUILE DU 682B AU T503/635,3,B7103R9999-43,B7105T0043,2009-06-23,NORMAL,B4727,BRH,BRH-S600,HUILE-D-RAFH
B4313R0020-154,MOTEUR (A5-P04-M1)-POMPE D-BAC (A5-B04) 150 L,3,B7103R0016-100,B7103T0096,2009-02-04,,B4313,BMA,BMA-A08,CGS-D-MARG
B7103T0097,BAC DE PREPARATION (A5-B05) 150 LITRES,1,,B7103T0097,2009-02-04,,B7101,BMA,BMA-A08,CGS-D-MARG
