WOWO_SYSTEM_EQUIPMENT,WOWO_EQUIPMENT_DESCRIPTION,WOWO_DECLARATION_DATE,WOWO_END_DATE,WOWO_CREATION_DATE,WOWO_JOB_TYPE,WOWO_EQUIPMENT_LEVEL,WOWO_EQUIPMENT,maintenance_parent_code,maintenance_parent_level,WOWO_JOB_CLASS,WOWO_TOTAL_COST,source,label_quality,WOWO_ACTION_ENTITY
B7214T8001,SOUFFLEUSE SBO 20 5767,2023-01-08,2023-06-01,2023-01-08,CORR,1,B7214T8001,,,PREVEN,74.4087867,2023_CORRECTIF,HIGH,ELKS_UAP1
B7216T0011,REMPLISSEUSE Combi SF SELECT GL 90/15C SIDEL FILLING/BOUCHEUSE TOURELLE  T15 / 540 ZALKIN,2023-01-08,2023-04-08,2023-01-08,PREV,1,B7216T0011,,,PREVEN,264.0,2023_PREVENTIF,HIGH,LLK
B7217T0001,SOUTIREUSE,2023-01-08,,2023-01-09,CORR,1,B7217T0001,,,ELEC,0.0,2023_CORRECTIF,HIGH,ELKS_UAP2
B7223T0001,BOUCHEUSE UNIMAC-GHERRI(SDA),2023-01-08,2023-06-01,2023-01-08,CORR,1,B7223T0001,,,PREVEN,545.6644358,2023_CORRECTIF,HIGH,ELKS_UAP2
B7252T0021,ETIQUETEUSE OPERA 300 SACMI,2023-01-08,2023-04-08,2023-01-08,PREV,2,B7252T0021-STSUPE,B7252T0021,1.0,PREVEN,68.7,2023_PREVENTIF,HIGH,LLK
B7252T0021,ETIQUETEUSE OPERA 300 SACMI,2023-01-08,2023-04-08,2023-01-08,PREV,2,B7252T0021-TRANSM,B7252T0021,1.0,PREVEN,57.25,2023_PREVENTIF,HIGH,LLK
B7252T0021,ETIQUETEUSE OPERA 300 SACMI,2023-01-08,2023-04-08,2023-01-08,PREV,2,B7252T0021-STINFE,B7252T0021,1.0,PREVEN,5387.343210503786,2023_PREVENTIF,HIGH,LLK
B7252T0021,ETIQUETEUSE OPERA 300 SACMI,2023-01-08,2023-04-08,2023-01-08,PREV,1,B7252T0021,,,PREVEN,114.5,2023_PREVENTIF,HIGH,LLK
B7252T0021,ETIQUETEUSE OPERA 300 SACMI,2023-01-08,2023-04-08,2023-01-08,PREV,2,B7252T0021-GRETIQ,B7252T0021,1.0,PREVEN,103.05,2023_PREVENTIF,HIGH,LLK
B7254T0139,DATEUSE,2023-01-08,2023-04-08,2023-01-08,PREV,1,B7254T0139,,,PREVEN,38.166666666666664,2023_PREVENTIF,HIGH,LLK
B7258T0007,CHECKMAT SORTIE ETIQUETEUSE,2023-01-08,2023-06-01,2023-01-10,CORR,1,B7258T0007,,,PREVEN,420.51,2023_CORRECTIF,HIGH,ELKS_UAP2
B7258T0009,INSPECTRICE DE BOCAL EBI(SDA),2023-01-08,2023-06-01,2023-01-09,CORR,1,B7258T0009,,,PREVEN,928.2406969,2023_CORRECTIF,HIGH,ELKS_UAP2
B7270T0200,SLEEVEUSE,2023-01-08,2023-06-01,2023-01-11,CORR,2,B7270T0200-S004,B7270T0200,1.0,PREVEN,74.4087867,2023_CORRECTIF,HIGH,ELKS_UAP2
B7270T0200,SLEEVEUSE,2023-01-08,2023-06-01,2023-01-08,CORR,2,B7270T0200-S003,B7270T0200,1.0,PREVEN,498.65960885,2023_CORRECTIF,HIGH,ELKS_UAP2
